Name,Category,Logo URL
Adobe Acrobat,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Adobe_Acrobat_DC_logo_2020.svg/2048px-Adobe_Acrobat_DC_logo_2020.svg.png
Adobe Creative Cloud,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Adobe_Creative_Cloud_rainbow_icon.svg/1050px-Adobe_Creative_Cloud_rainbow_icon.svg.png
Airtable,Work,https://1000logos.net/wp-content/uploads/2022/05/Airtable-Emblem.png
Amazon Prime Video,Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Amazon_Prime_logo_%282022%29.svg/1200px-Amazon_Prime_logo_%282022%29.svg.png
Apple Music,Entertainment,https://mir-s3-cdn-cf.behance.net/project_modules/1400/d3d62a171129077.6469ea9bb938f.jpg
Apple TV+,Entertainment,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/AppleTVLogo.svg/1200px-AppleTVLogo.svg.png
Asana,Work,https://cdn.worldvectorlogo.com/logos/asana-logo.svg
Audible,Entertainment,https://images.ctfassets.net/3sa0209epr53/2rz5W0wr8iawHUdJOxf9eO/ec0d137202ea342affdb6bd01fbee609/AudibleLogo_Image.png
AWS,Work,https://i0.wp.com/amach.com/wp-content/uploads/2023/10/aww-logo-blue-background.png?resize=1024%2C1024&ssl=1
Azure,Work,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Microsoft_Azure.svg/1200px-Microsoft_Azure.svg.png
Babbel,Entertainment,https://e7.pngegg.com/pngimages/714/149/png-clipart-babbel-app-store-foreign-language-intuitive-education-consultants-text-trademark-thumbnail.png
Bitdefender,Utilities,https://cdn.icon-icons.com/icons2/2407/PNG/512/bitdefender_icon_146218.png
Bluehost,Utilities,https://static-00.iconduck.com/assets.00/bluehost-icon-2048x2048-ypgu7y4g.png
Calendly,Utilities,https://logos-world.net/wp-content/uploads/2021/06/Calendly-New-Logo.png
Calm,Entertainment,https://upload.wikimedia.org/wikipedia/en/thumb/2/2c/Calm_%28company%29_logo.svg/1200px-Calm_%28company%29_logo.svg.png
Canva,Work,https://freepnglogo.com/images/all_img/1691829322canva-app-logo-png.png
ClickUp,Entertainment,https://clickup.com/images/for-se-page/clickup.png
Crunchbase Pro,Work,"https://images.crunchbase.com/image/upload/c_pad,f_auto,q_auto:eco,dpr_1/unj63uuxb8ooxctihr1w"
Crunchyroll,Entertainment,https://upload.wikimedia.org/wikipedia/commons/f/f6/Crunchyroll_Logo.svg
